IdClase,NombreClase,Descripcion,Cupo,Nivel
1,Clase nun,Amplitudo terreo et doloribus curvo ciminatio triumphus dolores.,20,Avanzado
2,Clase excess,Sol cibus sumptus adsidue contigo cernuus civitas.,15,Intermedio
3,Clase impostor,Reiciendis vulgo celo deludo ratione cervus abutor claudeo vulgo.,21,Intermedio
4,Clase procurement,Tantillus cohibeo utroque terreo blandior.,15,Avanzado
5,Clase piglet,Circumvenio sperno cervus aspernatur vulnus mollitia vociferor deporto.,15,Básico
6,Clase singing,Supellex curo credo amissio tres veniam earum defero.,13,Básico
7,Clase range,Cauda bos accommodo crebro aeternus tam celo.,13,Básico
8,Clase marketplace,Tricesimus convoco aspicio nobis deripio aeternus.,7,Avanzado
9,Clase onset,Tabernus amissio repellendus.,5,Básico
10,Clase request,Suppono ventus nisi animadverto peccatus.,8,Avanzado
11,Clase whale,Capillus suscipio amo cena addo callide amiculum degenero amaritudo depopulo.,18,Básico
12,Clase fedora,Tabernus clementia tabernus natus sopor minima totam thesaurus suppono.,30,Intermedio
13,Clase packaging,Sufficio suadeo cenaculum laborum venio veritas sunt.,18,Avanzado
14,Clase annual,Censura capillus alias.,17,Básico
15,Clase contrail,Arceo aperte sum venustas patior triduana viduo summopere conitor.,11,Básico
16,Clase feather,Ceno suscipio tyrannus aureus vitiosus curo vinitor tres.,10,Intermedio
17,Clase petal,Distinctio confero tui sit toties dens articulus degusto adaugeo.,16,Intermedio
18,Clase concentration,Taceo patrocinor sortitus blandior non verbera.,21,Avanzado
19,Clase tributary,Spoliatio cur amita desolo amo cruentus provident crux comitatus.,23,Avanzado
20,Clase morning,Convoco depraedor ventosus defero somnus dolorum tracto.,13,Básico
21,Clase CD,Sit claustrum talus degenero sustineo spectaculum cicuta.,25,Intermedio
22,Clase tenant,Adfectus animadverto caterva voro caveo aveho creptio cubicularis.,16,Intermedio
23,Clase settler,Quam aegrus cunctatio.,26,Avanzado
24,Clase cheetah,Adhuc celebrer tersus damnatio deputo comis.,28,Básico
25,Clase toothbrush,Vulgaris crinis bestia tardus praesentium.,10,Avanzado
26,Clase statue,Sum tonsor amaritudo vacuus virga dicta abeo vorago causa.,25,Intermedio
27,Clase battle,Tonsor aperio architecto sequi.,25,Básico
28,Clase character,Aedificium ciminatio terminatio.,12,Intermedio
29,Clase middle,Verecundia vigor valetudo vilicus clarus.,30,Avanzado
30,Clase heartache,Tempus necessitatibus tot pecus via victus viscus.,15,Avanzado
31,Clase dime,Quae clibanus veritatis solus occaecati altus modi.,15,Básico
32,Clase eyebrow,Tamquam verbera dignissimos temporibus bestia.,12,Intermedio
33,Clase divine,Viscus tersus vito.,13,Avanzado
34,Clase vanadyl,Adficio arbor casus asper capto vito comptus toties cura vilitas.,10,Avanzado
35,Clase loyalty,Villa deporto denuo laboriosam termes sol similique.,28,Básico
36,Clase signature,Corrigo cursim rem contabesco fugiat curto minima vigor suadeo confido.,10,Intermedio
37,Clase obesity,Tepidus patruus deduco cumque amplitudo laboriosam cruentus avaritia stips.,13,Intermedio
38,Clase deduction,Acervus terga iusto.,30,Avanzado
39,Clase fellow,Socius animi defessus auctor clam modi vulnero sumptus.,15,Avanzado
40,Clase hawk,Bibo utique aegrus versus ratione ullus abbas quos.,20,Intermedio
41,Clase someplace,Villa administratio comminor confugo considero vero quam acervus itaque.,15,Avanzado
42,Clase tomb,Tepesco ceno vallum accommodo.,23,Avanzado
43,Clase halt,Adsum adhuc corporis.,5,Avanzado
44,Clase derby,Alter arca sumptus.,21,Avanzado
45,Clase electronics,Taedium thermae porro cubo truculenter odio patria unde ulciscor admoneo.,21,Intermedio
46,Clase tennis,Cenaculum asperiores censura adfectus tracto victus aureus paens quaerat in.,22,Básico
47,Clase planula,Ager valeo astrum.,18,Básico
48,Clase league,Uterque tertius avaritia desolo ultra urbs.,15,Avanzado
49,Clase annual,Carcer casso adipisci attonbitus totam.,25,Intermedio
50,Clase mantua,Defaeco utrum spiculum unde beatus tripudio custodia vomito ascit.,16,Intermedio
51,Clase pine,Spero appositus tamquam coniecto totam caterva titulus.,27,Intermedio
52,Clase tectonics,Arcesso calamitas supellex templum cupressus capitulus quod curatio quis uterque.,13,Intermedio
53,Clase disadvantage,Ademptio substantia volaticus.,10,Avanzado
54,Clase cop-out,Cupiditate paens facilis decerno solitudo aer aegrotatio assumenda.,14,Básico
55,Clase flame,Vigilo tener caute ciminatio amplus stillicidium utilis.,19,Avanzado
56,Clase birdcage,Damnatio cumque debilito commodo cavus cenaculum colligo corroboro.,27,Avanzado
57,Clase bathrobe,Teneo aiunt decimus.,15,Básico
58,Clase haversack,Vulgivagus decor vulpes ascit desidero calco voveo umbra cariosus ambitus.,17,Intermedio
59,Clase dredger,Stillicidium comprehendo termes bellicus socius trans cito una careo audeo.,12,Intermedio
60,Clase zen,Carus patrocinor aduro tenuis ver vox toties dapifer.,23,Intermedio
61,Clase derby,Officiis denique dedecor optio spoliatio cumque tondeo beatus tum blanditiis.,30,Intermedio
62,Clase strait,Atrox creo utor itaque ancilla sum causa decretum cornu thymum.,17,Avanzado
63,Clase depot,Succurro tametsi ut tumultus officia vere articulus.,9,Avanzado
64,Clase forager,Ars crepusculum saepe conculco cupiditate depopulo.,8,Intermedio
65,Clase procurement,Virtus viduo volaticus.,7,Básico
66,Clase bob,Sub vobis averto tepidus tristis.,10,Avanzado
67,Clase requirement,Vinco eligendi patria.,21,Intermedio
68,Clase hutch,Uredo veritas voluptatum virgo sponte ventito validus.,13,Avanzado
69,Clase trolley,Conturbo currus delectatio conor terebro non tabula.,8,Básico
70,Clase injunction,Quas defetiscor commemoro curiositas adhaero caelestis vesco sodalitas synagoga.,19,Avanzado
71,Clase repeat,Tubineus antiquus aliqua concido.,24,Básico
72,Clase hamburger,Substantia esse statim templum socius.,12,Intermedio
73,Clase guide,Sortitus arca conqueror barba summa via tactus tempora harum.,25,Básico
74,Clase pendant,Spectaculum tondeo dedico recusandae deprecator turbo approbo aranea.,21,Intermedio
75,Clase typeface,Desino solvo tabernus.,20,Básico
76,Clase sonata,Ancilla tenax circumvenio cur dolor sub antiquus deleniti canis carmen.,7,Avanzado
77,Clase advancement,Eligendi amoveo vito.,28,Intermedio
78,Clase armchair,Tergo nisi pauper voluptatum cariosus tempore curis.,20,Básico
79,Clase tuba,Similique vulnus tot adsuesco terror strenuus cedo amplitudo.,22,Intermedio
80,Clase median,Adficio caries adficio calculus cohors ocer tredecim.,6,Básico
81,Clase depot,Beatus statim recusandae aegre cupressus confido commodi.,16,Intermedio
82,Clase cafe,Ipsa sui dedico curtus tabgo vomica sto vobis totidem vitium.,26,Avanzado
83,Clase restaurant,Desipio error combibo desparatus vigor conspergo dolore.,12,Intermedio
84,Clase reorganisation,Crastinus exercitationem tempora confido sophismata absorbeo.,30,Básico
85,Clase responsibility,Qui vapulus cogito adhaero sublime vorax tibi toties denuncio.,26,Avanzado
86,Clase brook,Certus trepide conitor cubicularis absorbeo spes adipisci.,28,Avanzado
87,Clase effector,Speculum capto apto venustas supplanto surgo sint illo sumo.,30,Intermedio
88,Clase bookend,Custodia ulciscor ea utpote ceno amiculum auctus sumptus tego.,15,Básico
89,Clase reboot,Attollo victus dolor ars venia arca deserunt.,27,Básico
90,Clase deduction,Deputo comburo delectatio vulgo tenetur utrimque apud cruciamentum.,16,Avanzado
91,Clase place,Condico cupio apto.,12,Intermedio
92,Clase elevation,Eos quos apostolus currus talis tergo adopto vicinus.,19,Intermedio
93,Clase parsnip,Defleo vomito asper subseco caste caterva clarus sponte convoco sunt.,9,Básico
94,Clase ownership,Turba cubitum paulatim.,19,Avanzado
95,Clase noon,Pauci suspendo averto eos tempus conitor.,9,Intermedio
96,Clase mechanic,Appello cui triduana maiores unde repudiandae vae allatus verecundia.,8,Intermedio
97,Clase governance,Amet ara cur id appello volo ullam caput spectaculum speciosus.,20,Avanzado
98,Clase developing,Sono uter ut.,28,Básico
99,Clase grass,Desidero taedium certus quaerat audacia assentator.,30,Avanzado
100,Clase cappelletti,Celo concedo vetus versus deludo virgo esse.,13,Intermedio
101,Clase tabletop,Claudeo deleo coadunatio vulariter voluptatum tergeo officiis cupressus.,21,Intermedio
102,Clase certification,Vulgus triumphus vis tempus sumo distinctio decipio.,7,Básico
103,Clase mainstream,Sit verbum acsi adfectus timor trepide aro alo.,5,Básico
104,Clase complication,Cruentus vindico angulus confero voveo vir victus arx audentia adulatio.,5,Avanzado
105,Clase laughter,Derelinquo dolores vicissitudo corrupti vis degenero compello pectus deripio comptus.,18,Avanzado
106,Clase desk,Capitulus comis adipisci rerum curriculum defendo.,13,Avanzado
107,Clase management,Derelinquo voluptas deprimo rerum cedo.,27,Intermedio
108,Clase best-seller,Aveho aspernatur synagoga iure tribuo venia.,18,Intermedio
109,Clase lifestyle,Vomica benevolentia vorax adaugeo conturbo.,28,Básico
110,Clase lotion,Demoror adfero statim thermae defero beatae usus deficio sunt.,12,Básico
111,Clase cafe,Curvo conventus cuppedia est.,27,Intermedio
112,Clase fraudster,Temporibus tamisium caries ambulo iure texo enim.,12,Básico
113,Clase postbox,Damno vereor vir vitae cupiditas consuasor brevis.,23,Intermedio
114,Clase sandbar,Adsuesco laudantium temptatio thesaurus.,23,Intermedio
115,Clase perp,Ducimus truculenter baiulus alioqui defessus cultura vilicus.,5,Intermedio
116,Clase schedule,Sodalitas at solus cerno vapulus iure ventus.,12,Avanzado
117,Clase disposer,Adstringo advoco volaticus appono conforto quos.,7,Avanzado
118,Clase instruction,Defungo urbs toties adsuesco tribuo nihil solvo.,24,Básico
119,Clase casement,Cado defungo sono abduco.,5,Intermedio
120,Clase fraudster,Laborum fuga conitor sed villa calco.,24,Avanzado
121,Clase mortise,Provident comptus capillus deinde degero subvenio.,25,Avanzado
122,Clase chairperson,Taedium talio aestus arcus vester sollers cognomen deserunt.,23,Avanzado
123,Clase coordination,Ager tantillus dolore delego ipsum peior denique.,7,Básico
124,Clase ice-cream,Cilicium decumbo vel cibo.,6,Básico
125,Clase omelet,Vilitas temptatio triumphus contabesco tui suggero.,16,Básico
126,Clase other,Asporto stipes apparatus velut.,13,Intermedio
127,Clase tabletop,Tonsor arcus viduo aequitas concedo accusantium vestigium odio.,8,Básico
128,Clase bump,Crudelis theologus accusator complectus cilicium conforto cruciamentum.,28,Intermedio
129,Clase adrenalin,Voluptate consuasor surculus apostolus.,27,Intermedio
130,Clase requirement,Adfectus carmen copiose deleo arceo vobis aggero collum amo adstringo.,28,Avanzado
131,Clase elevator,Spes tollo odio cruciamentum demo vester adstringo tamdiu veniam.,26,Avanzado
132,Clase government,Textor dolorum sufficio vulgaris exercitationem demitto cribro tandem absque confero.,9,Avanzado
133,Clase reward,Stabilis ad tremo voluptatum crustulum surgo supellex vobis.,17,Intermedio
134,Clase pinstripe,Addo utique patruus sursum autus accedo quo cornu fugit conturbo.,20,Básico
135,Clase self-confidence,Soleo barba subnecto comparo una constans voluptatum.,19,Intermedio
136,Clase sesame,Ager thesaurus coepi tantum subvenio.,16,Intermedio
137,Clase tail,Arceo suffoco terga rerum admitto praesentium.,15,Avanzado
138,Clase impact,Cubo vilicus carpo crapula desparatus abundans laborum.,5,Básico
139,Clase doing,Titulus volup causa amiculum umerus corrigo atrocitas vis verus vilis.,16,Avanzado
140,Clase arcade,Cattus trado victoria tenax cito dolorem alii.,13,Básico
141,Clase sermon,Adulescens venio truculenter ait charisma ago urbanus copia.,22,Avanzado
142,Clase promise,Aestas vespillo dolores in denuncio.,12,Básico
143,Clase case,Delibero corporis vaco sponte uter comedo.,22,Avanzado
144,Clase councilman,Ademptio arbitro urbanus quaerat vestigium adamo volutabrum.,16,Básico
145,Clase fireplace,Campana accendo crebro repellendus.,30,Intermedio
146,Clase kinase,Alter conicio suus adflicto accusator ea claro cubitum accusator tempus.,19,Básico
147,Clase corporation,Deduco patruus defungo.,19,Avanzado
148,Clase fork,Statua cariosus subito adicio demens vacuus.,21,Básico
149,Clase agreement,Repellat balbus creo.,29,Intermedio
150,Clase crocodile,Acquiro deserunt vitae benevolentia vigor vinum astrum porro abundans vindico.,5,Básico
151,Clase fellow,Quam audacia coerceo utilis sint creator soluta brevis.,23,Básico
152,Clase fedora,Tremo esse aliqua vilicus audeo tabesco.,7,Básico
153,Clase fedora,Advoco adflicto contabesco tardus ambitus vulticulus enim.,24,Avanzado
154,Clase desk,Vociferor tredecim vestrum patior totam supplanto cado amoveo uredo.,15,Avanzado
155,Clase hydrolyze,Aspicio convoco video coaegresco desolo spiritus.,28,Básico
156,Clase reasoning,Ultra audeo asperiores tumultus tripudio dedecor cena.,14,Intermedio
157,Clase toothbrush,Tego ipsum aggero condico.,6,Básico
158,Clase gradient,Deduco dedecor texo sequi desolo.,23,Avanzado
159,Clase hepatitis,Substantia patria vomer tergum.,13,Básico
160,Clase eggplant,Venia laboriosam deputo demulceo sordeo adiuvo cohors talio administratio.,29,Básico
161,Clase joy,Territo tactus cunae aptus altus bene compello neque ullam valetudo.,23,Intermedio
162,Clase integer,Ars cibus amissio usitas carus sed quae corrumpo traho id.,27,Intermedio
163,Clase cash,Commodo utpote magnam aranea vere.,23,Básico
164,Clase fedora,Pectus fugiat turpis eligendi canis excepturi.,30,Avanzado
165,Clase thorn,Aedificium tam conturbo sum.,18,Avanzado
166,Clase mantua,Tergeo videlicet beatae paulatim.,27,Avanzado
167,Clase pillbox,Absens vulticulus veritas angulus tum.,24,Intermedio
168,Clase dusk,Corroboro terebro compello catena.,20,Intermedio
169,Clase knight,Corrumpo vulgaris deorsum vomito cultura ipsam ter.,19,Básico
170,Clase aircraft,Contra auctor vesco attollo canonicus vel odit copia.,19,Intermedio
171,Clase rubric,Inventore ars bibo.,23,Avanzado
172,Clase publicity,Degenero dignissimos astrum articulus stultus verbera pectus.,24,Avanzado
173,Clase bob,Tamen ademptio usus.,12,Básico
174,Clase airline,Curo coerceo vero aestivus defendo abstergo.,13,Avanzado
175,Clase ravioli,Adicio sopor uberrime cunabula tepesco stella.,17,Intermedio
176,Clase instruction,Tergum ab viscus decretum custodia illum.,17,Avanzado
177,Clase pneumonia,Aspernatur volaticus tot patruus teres amplexus abeo cruciamentum.,15,Avanzado
178,Clase patroller,Stillicidium cohibeo cruciamentum aeger desino communis.,7,Básico
179,Clase footrest,Civitas absum tripudio repellendus tibi harum velum repellat inventore altus.,21,Básico
180,Clase battle,Vulticulus arca tutamen.,13,Intermedio
181,Clase mountain,Urbanus sustineo officiis caelestis cognatus comparo deporto usitas vespillo viduo.,20,Básico
182,Clase technologist,Ventosus cernuus varietas demulceo adversus.,9,Intermedio
183,Clase collaboration,Curatio contego vitiosus strues sapiente.,21,Intermedio
184,Clase hutch,Accendo theatrum toties.,20,Avanzado
185,Clase schnitzel,Conor laborum appositus voluptatibus cohaero curis constans non vetus agnosco.,24,Intermedio
186,Clase armoire,Ut textus uter attero tabula.,24,Intermedio
187,Clase translation,Temperantia vigilo aegrotatio perspiciatis libero cruentus convoco vilicus pax.,11,Intermedio
188,Clase costume,Confido carbo antea cunctatio blanditiis strenuus.,11,Básico
189,Clase opera,Adicio derelinquo vilitas crastinus thema hic.,16,Intermedio
190,Clase grandson,Volubilis dolore vitae cometes.,25,Intermedio
191,Clase festival,Deputo deporto cresco canto.,26,Intermedio
192,Clase bonfire,Conitor volo nisi cupio.,12,Avanzado
193,Clase stay,Stipes repellendus beatus degusto.,12,Avanzado
194,Clase fisherman,Candidus conscendo odio praesentium ademptio confido perspiciatis ter.,5,Básico
195,Clase mallard,Tibi sequi talus.,29,Básico
196,Clase ostrich,Vetus thermae arma depraedor amoveo.,12,Intermedio
197,Clase summary,Arbustum sollers subseco enim barba cultura exercitationem ventosus crinis venustas.,13,Básico
198,Clase cheese,Denuo ubi modi animus considero.,27,Avanzado
199,Clase airmail,Vaco praesentium suasoria acerbitas aetas tunc currus pax stultus.,16,Avanzado
200,Clase gradient,Cauda ambitus averto stella spiritus cohors spes averto cornu tutis.,10,Avanzado
201,Clase availability,Aperiam claudeo bene rerum annus denuncio.,27,Avanzado
202,Clase coal,Conicio cogito autus adnuo vulnero cedo apud super tero curatio.,7,Avanzado
203,Clase coliseum,Comes neque harum allatus.,18,Intermedio
204,Clase opera,Argumentum cohors denique dignissimos aufero ante cariosus corporis.,21,Intermedio
205,Clase rosemary,Vir tenax culpo apto statua.,11,Básico
206,Clase draft,Thorax summa praesentium repudiandae.,22,Intermedio
207,Clase volleyball,Tego apud amet.,25,Básico
208,Clase release,Incidunt averto appello sursum.,12,Intermedio
209,Clase importance,Speculum triduana adhuc accendo odio decet.,14,Básico
210,Clase formula,Testimonium officiis ducimus alioqui cursim censura crur complectus.,25,Intermedio
211,Clase postbox,Bestia benevolentia convoco adamo thermae censura utor tabella.,9,Intermedio
212,Clase dime,Colligo explicabo spargo video audeo statim.,13,Avanzado
213,Clase spork,Textor iure advenio valde tui vel tamisium beatae nihil tenetur.,16,Intermedio
214,Clase pillbox,Cinis creptio vulgaris tantillus commodo deporto vomica degusto testimonium.,11,Intermedio
215,Clase cinema,Pauper crudelis voluptates nostrum thema admoveo admoveo.,26,Intermedio
216,Clase adviser,Super absorbeo ex sollicito amoveo sopor.,14,Básico
217,Clase clamp,Theca culpo collum.,8,Avanzado
218,Clase nougat,Aurum quo temeritas.,11,Avanzado
219,Clase birth,Ait suggero tendo voveo calco.,8,Intermedio
220,Clase disconnection,Correptius civis velit vespillo.,26,Avanzado
221,Clase exhaust,Venustas clamo tot clamo sono suffoco tremo antepono.,20,Básico
222,Clase premier,Validus argentum alioqui correptius delego titulus eum expedita.,14,Básico
223,Clase zebra,Nihil aegre statua capto.,15,Intermedio
224,Clase spirit,Umerus contabesco decumbo crustulum paulatim terreo currus.,27,Básico
225,Clase willow,Vespillo uxor adflicto volubilis vociferor compello creptio sui.,21,Intermedio
226,Clase knitting,Sustineo sequi ipsa subiungo sit thermae tametsi quis.,29,Avanzado
227,Clase video,Terror casso reprehenderit adversus.,30,Básico
228,Clase thyme,Vilicus demulceo conqueror occaecati deludo damnatio quasi conspergo sumo substantia.,10,Básico
229,Clase pension,Creta antea verbum sustineo amissio.,30,Básico
230,Clase traditionalism,Aspicio decerno celer compono contra creo temptatio.,28,Básico
231,Clase paintwork,Tergiversatio tantum dolor vilicus attollo absconditus conduco vir.,15,Básico
232,Clase instance,Umerus aliqua officiis apparatus stillicidium sto virga.,26,Avanzado
233,Clase lift,Vinum colo carbo credo exercitationem aegre vae compello curriculum.,24,Intermedio
234,Clase minion,Constans argumentum condico aliquid strues.,14,Intermedio
235,Clase diversity,Tumultus triduana impedit arcus titulus claustrum adversus.,10,Avanzado
236,Clase halt,Theatrum bibo vestigium templum depulso id tum.,21,Básico
237,Clase necklace,Caterva maiores uxor absconditus culpo accommodo vito.,11,Avanzado
238,Clase bourgeoisie,Baiulus adsuesco fugiat ullus denuo accedo ullus custodia.,10,Básico
239,Clase jellyfish,Quibusdam bos convoco aequus vigor somniculosus vulnero amo.,6,Básico
240,Clase vibraphone,Turbo victus bellum amplexus paulatim.,24,Intermedio
241,Clase pleasure,Aro auditor administratio bellicus cicuta tutamen verbera conor umbra.,26,Intermedio
242,Clase junior,Abstergo amiculum aperio aut arto civitas.,6,Intermedio
243,Clase inspection,Acceptus carmen cultellus thesis.,16,Avanzado
244,Clase trash,Conforto studio quae tabernus caste deprecator.,15,Básico
245,Clase ravioli,Stipes sufficio asporto universe vehemens vulgo apud.,30,Avanzado
246,Clase mallard,Crinis appono tenuis.,30,Avanzado
247,Clase secrecy,Crastinus catena beatae utor sumptus utor tantillus.,17,Avanzado
248,Clase carnival,Toties coniuratio suffragium aeternus alveus talus decor.,18,Básico
249,Clase cycle,Tametsi vorax carus vulnero stultus.,7,Intermedio
250,Clase adviser,Soluta damnatio adfectus votum crinis iure quo vigor votum soluta.,21,Básico
251,Clase lawmaker,Tumultus dapifer amplexus deficio.,21,Intermedio
252,Clase impostor,Vobis vomica dicta bos celebrer praesentium territo.,24,Avanzado
253,Clase license,Creptio thesis urbanus tergeo cupio aqua utilis.,24,Avanzado
254,Clase allegation,Adamo atrox vilitas bene crepusculum ademptio defleo uberrime vitae admiratio.,19,Avanzado
255,Clase quinoa,Subiungo tenetur tergum totidem defero.,12,Intermedio
256,Clase coliseum,Tener victus cui auctor ullus crustulum quidem surculus cursus.,8,Avanzado
257,Clase affiliate,Bardus advoco baiulus vigilo.,5,Básico
258,Clase countess,Amplitudo dolore soleo tabella sopor cresco tripudio.,7,Básico
259,Clase lifestyle,Subito sed torqueo umerus curso sui debeo cerno ver.,27,Intermedio
260,Clase packaging,Dolorem carpo aestus sumo valetudo.,20,Básico
261,Clase excess,Texo tendo speculum.,21,Avanzado
262,Clase hamburger,Aeneus nisi civis coaegresco bellum.,10,Avanzado
263,Clase director,Crux teneo amissio suscipio auctor cupiditate decipio vox capillus temeritas.,8,Intermedio
264,Clase bourgeoisie,Vehemens vorax vitium nostrum tabgo addo thesis atqui cerno suggero.,29,Intermedio
265,Clase quinoa,Suadeo comminor bonus.,23,Avanzado
266,Clase pearl,Crustulum praesentium solutio validus.,10,Básico
267,Clase follower,Agnitio vito adsum arca volaticus unus accedo contigo umbra.,12,Básico
268,Clase event,Thymum curo acidus carcer carcer aetas vulgaris.,29,Intermedio
269,Clase longboat,Deputo benigne varius cultura esse.,13,Básico
270,Clase squid,Aureus maiores amor vinculum eligendi socius admitto aspernatur sto temeritas.,27,Intermedio
271,Clase detective,Arbor territo calamitas subnecto.,5,Avanzado
272,Clase polarisation,Beatus aeger cuppedia demum tristis accedo taceo catena beneficium.,11,Básico
273,Clase quinoa,Volaticus cariosus deduco.,15,Avanzado
274,Clase precedent,Bis vestrum bis cado sustineo aliquid thesis crapula urbanus absens.,10,Avanzado
275,Clase retrospectivity,Quaerat modi cunabula currus adicio totidem thalassinus.,20,Intermedio
276,Clase devastation,Tui vereor concedo earum vomito vado.,28,Básico
277,Clase representation,Nostrum thorax aer abundans tenetur umbra.,15,Avanzado
278,Clase loyalty,Candidus vulpes vito tamdiu tum vespillo caute calamitas super consuasor.,16,Básico
279,Clase peony,Alii molestias inflammatio verbera sollers assentator.,6,Intermedio
280,Clase formamide,Caelestis quasi conculco suus casus blanditiis in cogito.,21,Intermedio
281,Clase vol,Caterva speciosus viduo caelum una utilis id pariatur recusandae ait.,27,Avanzado
282,Clase instruction,Ter est libero canto sopor adeo absum turba sponte aptus.,7,Básico
283,Clase institute,Aestus antea absorbeo adfectus trepide.,27,Intermedio
284,Clase reward,Tamdiu annus aedificium vestrum utor consequuntur.,17,Intermedio
285,Clase necklace,Crudelis calco basium eum textus cicuta defendo thermae vito.,27,Avanzado
286,Clase tail,Excepturi deputo vulpes auditor bos veniam celebrer solitudo utpote.,18,Avanzado
287,Clase bonfire,Volubilis conduco undique agnosco bardus aeternus cado territo.,30,Básico
288,Clase unblinking,Vobis conitor solio sophismata torrens attollo decens stipes delicate.,13,Avanzado
289,Clase dusk,Totus vitium convoco colligo pel solvo.,10,Básico
290,Clase knuckle,Quaerat arcesso asporto crastinus uberrime.,17,Básico
291,Clase perfection,Pel candidus thema voluntarius.,5,Avanzado
292,Clase commodity,Peior credo vereor absorbeo coniuratio calco.,20,Básico
293,Clase tune-up,Surculus nihil pariatur tribuo absum campana solutio tricesimus.,6,Básico
294,Clase configuration,Omnis abbas corrigo ullus crustulum.,25,Básico
295,Clase graffiti,Adaugeo antea coniuratio demo voluptates aut cibo sperno.,20,Avanzado
296,Clase replacement,Derelinquo ara ante nam suscipit timidus arguo.,28,Intermedio
297,Clase sesame,Animus desipio vel degero adipisci aut.,18,Básico
298,Clase cellar,Veritas civitas xiphias patruus comis cribro denique assumenda.,13,Básico
299,Clase ferret,Sto audio ulterius maxime damno conculco.,28,Básico
300,Clase makeover,Deprecator defero alioqui quia caelum.,25,Avanzado
301,Clase jungle,Socius nulla repellendus sapiente recusandae tego tollo appello aeneus suggero.,29,Intermedio
302,Clase resource,Adversus universe advenio placeat advenio vorax vestigium ut.,6,Avanzado
303,Clase strategy,Curriculum vero armarium.,6,Avanzado
304,Clase paintwork,Textilis bis ulciscor curso claustrum tendo adflicto basium voluptatem aufero.,29,Intermedio
305,Clase optimal,Verto cogito ultio iste.,24,Intermedio
306,Clase coordination,Commodi alii temporibus tenuis suppellex convoco xiphias.,26,Avanzado
307,Clase pearl,Ventus quasi amo supra ea aegrotatio cohaero.,23,Intermedio
308,Clase approach,Creptio asperiores contabesco aeneus dolorem.,24,Básico
309,Clase validity,Cuius desidero omnis correptius aegre aut cerno benevolentia vicissitudo.,23,Avanzado
310,Clase mythology,Dicta culpa tergiversatio thymbra suppellex deprecator abutor in dedecor vulgus.,13,Intermedio
311,Clase comparison,Tandem tondeo nam optio.,6,Intermedio
312,Clase status,Stipes cupio vomito depromo calco aeneus tonsor.,10,Avanzado
313,Clase airline,Tremo uterque aurum vesper facilis.,12,Básico
314,Clase event,Cibo clementia vilitas pax valde adsum.,23,Avanzado
315,Clase contrail,Arbor agnosco viscus.,22,Intermedio
316,Clase feather,Ducimus cattus creator ante vinitor benevolentia.,30,Avanzado
317,Clase angle,Abstergo consectetur una unus debilito vacuus.,26,Avanzado
318,Clase venom,Deprecator denuo absens titulus textus paulatim vacuus inventore animadverto curriculum.,8,Intermedio
319,Clase barracks,Spectaculum amoveo tempore commodo degusto alii quae caveo cicuta.,27,Avanzado
320,Clase gift,Alioqui tremo volaticus ciminatio.,30,Intermedio
321,Clase loyalty,Tenetur appello universe sed vergo suscipit cursus tubineus.,28,Avanzado
322,Clase defendant,Quaerat constans perferendis non maiores.,8,Avanzado
323,Clase airport,Sum amo pectus deludo clamo.,29,Avanzado
324,Clase suspension,Supplanto suus facilis adaugeo creator vindico calco advenio.,27,Avanzado
325,Clase trash,Strues ager atavus uberrime ancilla calco cuius vigilo.,9,Intermedio
326,Clase barge,Despecto varietas uterque delego arx cibo.,5,Intermedio
327,Clase sanity,Cogo tubineus debilito.,15,Intermedio
328,Clase marten,Argentum atqui cibus.,23,Básico
